time,seconds_elapsed,relativeAltitude,pressure
1729696775696091400,246.85709130859374,-0.06341552734375,983.591064453125
1729696775736112600,246.89711254882812,-0.039642333984375,983.58837890625
1729696775776137700,246.9371376953125,-0.031707763671875,983.587158203125
1729696775816138500,246.9771384277344,-0.044921875,983.5888671875
1729696775856139000,247.01713891601563,-0.0739898681640625,983.59228515625
1729696775896145200,247.05714526367188,-0.0475616455078125,983.589111328125
1729696775936136200,247.09713623046875,-0.07135009765625,983.592041015625
1729696775976134000,247.1371337890625,-0.0290679931640625,983.5869140625
1729696776016140500,247.177140625,-0.050201416015625,983.58935546875
1729696776056166100,247.21716625976563,-0.0924835205078125,983.594482421875
1729696776096116200,247.2571162109375,-0.10833740234375,983.596435546875
1729696776136123400,247.29712329101562,-0.1162567138671875,983.59716796875
1729696776176140300,247.33714038085938,-0.06341552734375,983.591064453125
1729696776216143600,247.3771435546875,-0.1241912841796875,983.59814453125
1729696776256134100,247.41713403320313,-0.050201416015625,983.58935546875
1729696776296132900,247.4571328125,-0.0739898681640625,983.59228515625
1729696776336133600,247.49713354492187,-0.1479644775390625,983.600830078125
1729696776376133000,247.5371330566406,-0.14532470703125,983.6005859375
1729696776416134700,247.577134765625,-0.1691131591796875,983.603271484375
1729696776456134400,247.6171345214844,-0.19818115234375,983.606689453125
1729696776496099800,247.65709985351563,-0.2510223388671875,983.613037109375
1729696776536116200,247.6971162109375,-0.3276519775390625,983.6220703125
1729696776576158500,247.7371584472656,-0.311798095703125,983.6201171875
1729696776616100600,247.7771005859375,-0.2615814208984375,983.6142578125
1729696776656133400,247.81713330078125,-0.214019775390625,983.608642578125
1729696776696132600,247.85713256835936,-0.184967041015625,983.605224609375
1729696776736136000,247.89713598632812,-0.1611785888671875,983.6025390625
1729696776776162800,247.93716284179686,-0.1823272705078125,983.60498046875
1729696776816134100,247.97713403320313,-0.2061004638671875,983.607666015625
1729696776856138000,248.01713793945314,-0.2245941162109375,983.60986328125
1729696776896139500,248.05713940429686,-0.258941650390625,983.614013671875
1729696776936099300,248.09709936523439,-0.2642364501953125,983.614501953125
1729696776976107800,248.13710766601562,-0.2457275390625,983.6123046875
1729696777016102400,248.17710229492187,-0.1743927001953125,983.60400390625
1729696777056133400,248.21713330078126,-0.184967041015625,983.605224609375
1729696777096133000,248.2571330566406,-0.2430877685546875,983.612060546875
1729696777136133400,248.29713330078124,-0.221954345703125,983.609619140625
1729696777176132600,248.33713256835938,-0.266876220703125,983.614990234375
1729696777216139000,248.37713891601564,-0.253662109375,983.61328125
1729696777256133000,248.41713305664064,-0.2932891845703125,983.617919921875
1729696777296134400,248.45713452148436,-0.266876220703125,983.614990234375
1729696777336100600,248.4971005859375,-0.258941650390625,983.614013671875
1729696777376091400,248.53709130859374,-0.2563018798828125,983.613525390625
1729696777416112600,248.57711254882813,-0.2959442138671875,983.618408203125
1729696777456110800,248.61711083984375,-0.2563018798828125,983.61376953125
1729696777496133000,248.65713305664062,-0.266876220703125,983.614990234375
1729696777536133600,248.69713354492188,-0.2906494140625,983.61767578125
1729696777576138500,248.73713842773438,-0.3065032958984375,983.61962890625
1729696777616132900,248.7771328125,-0.30914306640625,983.619873046875
1729696777656134000,248.8171337890625,-0.2880096435546875,983.617431640625
1729696777696133000,248.85713305664063,-0.31707763671875,983.62060546875
1729696777736135000,248.89713500976563,-0.3329315185546875,983.62255859375
1729696777776100400,248.93710034179688,-0.311798095703125,983.6201171875
1729696777816101000,248.97710107421875,-0.348785400390625,983.62451171875
1729696777856100400,249.01710034179686,-0.3355712890625,983.623046875
1729696777896134000,249.0571337890625,-0.303863525390625,983.619384765625
1729696777936134000,249.0971337890625,-0.2430877685546875,983.612060546875
1729696777976133400,249.13713330078124,-0.285369873046875,983.6171875
1729696778016189000,249.17718896484374,-0.27215576171875,983.615478515625
1729696778056138800,249.217138671875,-0.2457275390625,983.6123046875
1729696778096138800,249.257138671875,-0.253662109375,983.61328125
1729696778136142000,249.29714208984376,-0.2932891845703125,983.617919921875
1729696778176116700,249.33711669921874,-0.3276519775390625,983.6220703125
1729696778216123000,249.37712280273436,-0.311798095703125,983.6201171875
1729696778256116200,249.4171162109375,-0.3276519775390625,983.6220703125
1729696778296133600,249.45713354492187,-0.39898681640625,983.63037109375
1729696778336133400,249.49713330078126,-0.2906494140625,983.61767578125
1729696778376134000,249.5371337890625,-0.298583984375,983.61865234375
1729696778416133400,249.57713330078124,-0.277435302734375,983.6162109375
1729696778456133600,249.61713354492187,-0.23516845703125,983.611083984375
1729696778496134000,249.6571337890625,-0.208740234375,983.608154296875
1729696778536139000,249.69713891601563,-0.1479644775390625,983.60107421875
1729696778576134700,249.737134765625,-0.184967041015625,983.605224609375
1729696778616112400,249.7771123046875,-0.1558990478515625,983.601806640625
1729696778656099600,249.817099609375,-0.177032470703125,983.6044921875
1729696778696101400,249.85710131835938,-0.1558990478515625,983.60205078125
1729696778736133600,249.89713354492187,-0.1241912841796875,983.59814453125
1729696778776137700,249.9371376953125,-0.1241912841796875,983.59814453125
1729696778816134400,249.97713452148437,-0.1189117431640625,983.597412109375
1729696778856133400,250.01713330078124,-0.1558990478515625,983.601806640625
1729696778896132600,250.05713256835938,-0.1691131591796875,983.603515625
1729696778936138800,250.097138671875,-0.195526123046875,983.6064453125
1729696778976149000,250.13714892578125,-0.253662109375,983.61328125
1729696779016106500,250.1771064453125,-0.2932891845703125,983.617919921875
1729696779056100600,250.2171005859375,-0.322357177734375,983.621337890625
1729696779096109000,250.25710913085936,-0.3012237548828125,983.618896484375
1729696779136138800,250.297138671875,-0.22723388671875,983.6103515625
1729696779176145700,250.33714575195313,-0.266876220703125,983.614990234375
1729696779216104000,250.37710400390625,-0.27215576171875,983.615478515625
1729696779256133600,250.41713354492188,-0.2166748046875,983.60888671875
1729696779296138800,250.457138671875,-0.2378082275390625,983.611328125
1729696779336139500,250.4971394042969,-0.2061004638671875,983.607666015625
1729696779376141300,250.5371413574219,-0.311798095703125,983.6201171875
1729696779416140300,250.57714038085936,-0.3197174072265625,983.62109375
1729696779456100900,250.61710083007813,-0.3355712890625,983.622802734375
1729696779496100400,250.65710034179688,-0.2906494140625,983.61767578125
1729696779536144400,250.69714428710938,-0.2061004638671875,983.607666015625
1729696779576134400,250.73713452148436,-0.1479644775390625,983.60107421875
1729696779616135200,250.77713525390624,-0.140045166015625,983.60009765625
1729696779656133600,250.8171335449219,-0.1479644775390625,983.60107421875
1729696779696147700,250.85714770507812,-0.0872039794921875,983.59375
1729696779736134000,250.8971337890625,-0.0422821044921875,983.588623046875
1729696779776137500,250.93713745117188,-0.0739898681640625,983.59228515625
1729696779816133400,250.97713330078125,-0.076629638671875,983.592529296875
1729696779856148500,251.0171484375,-0.06341552734375,983.591064453125
1729696779896099800,251.05709985351564,-0.1056976318359375,983.595947265625
1729696779936112000,251.09711206054686,-0.1268310546875,983.598388671875
1729696779976134000,251.1371337890625,-0.140045166015625,983.60009765625
1729696780016133600,251.17713354492187,-0.177032470703125,983.6044921875
1729696780056132900,251.2171328125,-0.1743927001953125,983.60400390625
1729696780096133600,251.25713354492189,-0.1374053955078125,983.599853515625
1729696780136139000,251.29713891601563,-0.0792694091796875,983.5927734375
1729696780176134000,251.3371337890625,-0.058135986328125,983.590576171875
1729696780216133400,251.37713330078125,-0.0554962158203125,983.590087890625
1729696780256134000,251.4171337890625,-0.113616943359375,983.596923828125
1729696780296099800,251.45709985351561,-0.1506195068359375,983.601318359375
1729696780336101400,251.49710131835937,-0.134765625,983.599365234375
1729696780376133600,251.5371335449219,-0.08984375,983.59423828125
1729696780416134000,251.5771337890625,-0.132110595703125,983.59912109375
1729696780456138000,251.61713793945313,-0.095123291015625,983.5947265625
1729696780496138200,251.65713818359376,-0.10040283203125,983.595458984375
1729696780536139000,251.69713891601563,-0.1294708251953125,983.5986328125
1729696780576145200,251.73714526367186,-0.177032470703125,983.604248046875
1729696780616138500,251.77713842773437,-0.1426849365234375,983.600341796875
1729696780656136400,251.81713647460938,-0.15325927734375,983.6015625
1729696780696161500,251.85716162109375,-0.195526123046875,983.6064453125
1729696780736100000,251.89710009765625,-0.1611785888671875,983.6025390625
1729696780776116000,251.93711596679688,-0.121551513671875,983.597900390625
1729696780816133600,251.97713354492188,-0.163818359375,983.602783203125
